plot;tag;GenusSpecies;family;order1;order2;order3
P06;500308;Terminalia amazonia;Combretaceae;0.581625551404976;0.690245827926717;0.562430405744767
P06;500308;Terminalia amazonia;Combretaceae;0.258386231261593;1.03976682322064;0.697148101906397
P06;500308;Terminalia amazonia;Combretaceae;0.213647825660646;0.460436344112494;0.604997987114214
P06;500308;Terminalia amazonia;Combretaceae;0.527418081286842;0.581910965819716;0.179024933236293
P06;500519;Terminalia amazonia;Combretaceae;1.42100802240113;0.779226867633225;0.592328566091686
P06;500519;Terminalia amazonia;Combretaceae;0.680400747528292;0.933261964909041;0.708540212324379
P06;500519;Terminalia amazonia;Combretaceae;0.575229246176628;0.893437091003987;0.348067926721957
P06;500519;Terminalia amazonia;Combretaceae;0.940257538701915;0.463936008573355;0.26790766019232
P06;500578;Terminalia amazonia;Combretaceae;0.43092845788091;0.751961796780811;0.191658461484084
P06;500578;Terminalia amazonia;Combretaceae;0.224212622022577;1.00102806067456;0.635024384623776
P06;500578;Terminalia amazonia;Combretaceae;0.246915208422861;0.900735814419611;0.585180313915508
P06;500578;Terminalia amazonia;Combretaceae;0.196698272369091;0.497011581135845;0.589651706850863
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;2.01516523783451;1.28602932233548;0.924445358656584
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;4.28740344298248;0.833384391795941;0.89445519782689
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;1.37971220447186;0.717171966969619;0.594264130857699
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;3.49063485516103;0.52606291395454;0.749807390839456
campochagres;622486;Gustavia superba;Lecythidaceae;0.211135392723221;0.154651295878563;0.195531848764468
campochagres;622486;Gustavia superba;Lecythidaceae;0.308681336405019;0.0725053155408839;0.135222127581376
campochagres;622486;Gustavia superba;Lecythidaceae;0.713533998863967;0.00409532530224299;0.321638611969948
campochagres;622486;Gustavia superba;Lecythidaceae;0.633205948866945;0.41071410856449;0.197211659442707
